"","season","nodes","spec_nodes","es_nodes","edges","fw_edges","es_edges","basal_spec","susceptible_spec","R_fw_most_least","R_es_most_least","R_fw_rarity","R_es_rarity","R_fw_random_min","R_fw_random_mean","R_fw_random_max","R_es_random_min","R_es_random_mean","R_es_random_max"
"1","Premonsoon",117,109,8,1965,1638,327,3,106,0.201791587329064,0.285550458715596,0.754414055738272,0.775229357798165,0.28976977670071,0.664765102994634,0.94382897697767,0.375,0.72631995412844,0.947247706422018
"2","Postmonsoon",143,135,8,2320,1924,396,3,132,0.190095398428732,0.231481481481481,0.805667789001122,0.806481481481481,0.237794612794613,0.681392620650954,0.955639730639731,0.318518518518519,0.729124074074074,0.946296296296296
"3","Monsoon",119,111,8,2048,1717,331,3,108,0.199491157824491,0.289414414414414,0.798465131798465,0.80518018018018,0.312062062062062,0.667212754421088,0.953244911578245,0.36036036036036,0.723596846846847,0.936936936936937
