"","PREY_sp","PREDATOR_sp"
"87","Aquarius adelaides","Anas poecilorhyncha"
"88","Limnogonus fossarum","Anas poecilorhyncha"
"89","Laccotrephes griseus","Anas poecilorhyncha"
"90","Laccotrephes ruber","Anas poecilorhyncha"
"91","Ranatra elongata","Anas poecilorhyncha"
"92","Ranatra filiformis","Anas poecilorhyncha"
"93","Ranatra varipes","Anas poecilorhyncha"
"94","Anisops campbelli","Anas poecilorhyncha"
"95","Hydrovatus confertus","Anas poecilorhyncha"
"96","Parambassis baculis","Tachybaptus ruficollis"
"97","Aplocheilus panchax","Tachybaptus ruficollis"
"98","Badis badis","Tachybaptus ruficollis"
"99","Puntius vittatus","Tachybaptus ruficollis"
"100","Rasbora daniconius","Tachybaptus ruficollis"
"101","Pethia phutunio","Tachybaptus ruficollis"
"102","Trichogaster lalius","Tachybaptus ruficollis"
"103","Trichogaster fasciata","Tachybaptus ruficollis"
"104","Big fish juveniles","Tachybaptus ruficollis"
"105","Macrobrachium malcolmsonii","Tachybaptus ruficollis"
"106","Macrobrachium rosenbergii","Tachybaptus ruficollis"
"107","Macrobrachium rude","Tachybaptus ruficollis"
"108","Macrobrachium equidens","Tachybaptus ruficollis"
"109","Diplonychus annulatus","Tachybaptus ruficollis"
"110","Diplonychus rusticus","Tachybaptus ruficollis"
"111","Aquarius adelaides","Tachybaptus ruficollis"
"112","Limnogonus fossarum","Tachybaptus ruficollis"
"113","Laccotrephes griseus","Tachybaptus ruficollis"
"114","Laccotrephes ruber","Tachybaptus ruficollis"
"115","Ranatra elongata","Tachybaptus ruficollis"
"116","Ranatra filiformis","Tachybaptus ruficollis"
"117","Ranatra varipes","Tachybaptus ruficollis"
"118","Anisops campbelli","Tachybaptus ruficollis"
"119","Hydrovatus confertus","Tachybaptus ruficollis"
"121","Diplonychus annulatus","Centropus bengalensis"
"122","Diplonychus rusticus","Centropus bengalensis"
"123","Aquarius adelaides","Centropus bengalensis"
"124","Limnogonus fossarum","Centropus bengalensis"
"125","Laccotrephes griseus","Centropus bengalensis"
