"","PREY_sp","PREDATOR_sp"
"127","Ranatra elongata","Anas acuta"
"128","Ranatra filiformis","Anas acuta"
"129","Ranatra varipes","Anas acuta"
"130","Anisops campbelli","Anas acuta"
"131","Hydrovatus confertus","Anas acuta"
"132","Herbaceous aquatic plants","Netta rufina"
"133","Diplonychus annulatus","Netta rufina"
"134","Diplonychus rusticus","Netta rufina"
"135","Aquarius adelaides","Netta rufina"
"136","Limnogonus fossarum","Netta rufina"
"137","Laccotrephes griseus","Netta rufina"
"138","Laccotrephes ruber","Netta rufina"
"139","Ranatra elongata","Netta rufina"
"140","Ranatra filiformis","Netta rufina"
"141","Ranatra varipes","Netta rufina"
"142","Anisops campbelli","Netta rufina"
"143","Hydrovatus confertus","Netta rufina"
"144","Green Algae","Netta rufina"
"145","Parambassis baculis","Tachybaptus ruficollis"
"146","Aplocheilus panchax","Tachybaptus ruficollis"
"147","Badis badis","Tachybaptus ruficollis"
"148","Puntius vittatus","Tachybaptus ruficollis"
"149","Rasbora daniconius","Tachybaptus ruficollis"
"150","Pethia phutunio","Tachybaptus ruficollis"
"151","Trichogaster lalius","Tachybaptus ruficollis"
"152","Trichogaster fasciata","Tachybaptus ruficollis"
"153","Big fish juveniles","Tachybaptus ruficollis"
"154","Tadploes","Tachybaptus ruficollis"
"155","Macrobrachium malcolmsonii","Tachybaptus ruficollis"
"156","Macrobrachium rosenbergii","Tachybaptus ruficollis"
"157","Macrobrachium rude","Tachybaptus ruficollis"
"158","Macrobrachium equidens","Tachybaptus ruficollis"
"159","Diplonychus annulatus","Tachybaptus ruficollis"
"160","Diplonychus rusticus","Tachybaptus ruficollis"
"161","Aquarius adelaides","Tachybaptus ruficollis"
"162","Limnogonus fossarum","Tachybaptus ruficollis"
"163","Laccotrephes griseus","Tachybaptus ruficollis"
"164","Laccotrephes ruber","Tachybaptus ruficollis"
"165","Ranatra elongata","Tachybaptus ruficollis"
"166","Ranatra filiformis","Tachybaptus ruficollis"
"167","Ranatra varipes","Tachybaptus ruficollis"
"168","Anisops campbelli","Tachybaptus ruficollis"
"169","Hydrovatus confertus","Tachybaptus ruficollis"
"171","Diplonychus annulatus","Centropus bengalensis"
"172","Diplonychus rusticus","Centropus bengalensis"
"173","Aquarius adelaides","Centropus bengalensis"
"174","Limnogonus fossarum","Centropus bengalensis"
"175","Laccotrephes griseus","Centropus bengalensis"
"176","Laccotrephes ruber","Centropus bengalensis"
"177","Ranatra elongata","Centropus bengalensis"
"178","Ranatra filiformis","Centropus bengalensis"
"179","Ranatra varipes","Centropus bengalensis"
"180","Anisops campbelli","Centropus bengalensis"
"181","Hydrovatus confertus","Centropus bengalensis"
"182","Duttaphrynus melanostictus","Centropus bengalensis"
"183","Minervarya agricola","Centropus bengalensis"
"184","Euphlyctis cyanophlyctis","Centropus bengalensis"
"185","Hoplobatrachus tigerinus","Centropus bengalensis"
"186","Microhyla mymensinghensis","Centropus bengalensis"
"187","Polypedates maculatus","Centropus bengalensis"
"188","Herbaceous aquatic plants","Gallinula chloropus"
"189","Diplonychus annulatus","Gallinula chloropus"
"190","Diplonychus rusticus","Gallinula chloropus"
"191","Aquarius adelaides","Gallinula chloropus"
"192","Limnogonus fossarum","Gallinula chloropus"
"193","Laccotrephes griseus","Gallinula chloropus"
"194","Laccotrephes ruber","Gallinula chloropus"
"195","Ranatra elongata","Gallinula chloropus"
"196","Ranatra filiformis","Gallinula chloropus"
"197","Ranatra varipes","Gallinula chloropus"
"198","Anisops campbelli","Gallinula chloropus"
"199","Hydrovatus confertus","Gallinula chloropus"
"200","Duttaphrynus melanostictus","Gallinula chloropus"
"201","Minervarya agricola","Gallinula chloropus"
"202","Euphlyctis cyanophlyctis","Gallinula chloropus"
"203","Hoplobatrachus tigerinus","Gallinula chloropus"
"204","Microhyla mymensinghensis","Gallinula chloropus"
"205","Polypedates maculatus","Gallinula chloropus"
"206","Herbaceous aquatic plants","Fulica atra"
"207","Diplonychus annulatus","Fulica atra"
"208","Diplonychus rusticus","Fulica atra"
"209","Aquarius adelaides","Fulica atra"
"210","Limnogonus fossarum","Fulica atra"
"211","Laccotrephes griseus","Fulica atra"
"212","Laccotrephes ruber","Fulica atra"
"213","Ranatra elongata","Fulica atra"
"214","Ranatra filiformis","Fulica atra"
"215","Ranatra varipes","Fulica atra"
"216","Anisops campbelli","Fulica atra"
"217","Hydrovatus confertus","Fulica atra"
"218","Herbaceous aquatic plants","Porphyrio poliocephalus"
"219","Diplonychus annulatus","Porphyrio poliocephalus"
"220","Diplonychus rusticus","Porphyrio poliocephalus"
"221","Aquarius adelaides","Porphyrio poliocephalus"
"222","Limnogonus fossarum","Porphyrio poliocephalus"
"223","Laccotrephes griseus","Porphyrio poliocephalus"
"224","Laccotrephes ruber","Porphyrio poliocephalus"
"225","Ranatra elongata","Porphyrio poliocephalus"
"226","Ranatra filiformis","Porphyrio poliocephalus"
"227","Ranatra varipes","Porphyrio poliocephalus"
"228","Anisops campbelli","Porphyrio poliocephalus"
"229","Hydrovatus confertus","Porphyrio poliocephalus"
"230","Herbaceous aquatic plants","Amaurornis phoenicurus"
"231","Diplonychus annulatus","Amaurornis phoenicurus"
"232","Diplonychus rusticus","Amaurornis phoenicurus"
"233","Aquarius adelaides","Amaurornis phoenicurus"
"234","Limnogonus fossarum","Amaurornis phoenicurus"
"235","Laccotrephes griseus","Amaurornis phoenicurus"
"236","Laccotrephes ruber","Amaurornis phoenicurus"
"237","Ranatra elongata","Amaurornis phoenicurus"
"238","Ranatra filiformis","Amaurornis phoenicurus"
"239","Ranatra varipes","Amaurornis phoenicurus"
"240","Anisops campbelli","Amaurornis phoenicurus"
"241","Hydrovatus confertus","Amaurornis phoenicurus"
"242","Parambassis baculis","Amaurornis phoenicurus"
"243","Aplocheilus panchax","Amaurornis phoenicurus"
"244","Badis badis","Amaurornis phoenicurus"
"245","Puntius vittatus","Amaurornis phoenicurus"
"246","Rasbora daniconius","Amaurornis phoenicurus"
"247","Pethia phutunio","Amaurornis phoenicurus"
"248","Trichogaster lalius","Amaurornis phoenicurus"
"249","Trichogaster fasciata","Amaurornis phoenicurus"
"250","Big fish juveniles","Amaurornis phoenicurus"
"251","Diplonychus annulatus","Himantopus himantopus"
"252","Diplonychus rusticus","Himantopus himantopus"
"253","Aquarius adelaides","Himantopus himantopus"
"254","Limnogonus fossarum","Himantopus himantopus"
"255","Laccotrephes griseus","Himantopus himantopus"
"256","Laccotrephes ruber","Himantopus himantopus"
"257","Ranatra elongata","Himantopus himantopus"
"258","Ranatra filiformis","Himantopus himantopus"
"259","Ranatra varipes","Himantopus himantopus"
"260","Anisops campbelli","Himantopus himantopus"
"261","Hydrovatus confertus","Himantopus himantopus"
"262","Diplonychus annulatus","Pluvialis fulva"
"263","Diplonychus rusticus","Pluvialis fulva"
"264","Aquarius adelaides","Pluvialis fulva"
"265","Limnogonus fossarum","Pluvialis fulva"
"266","Laccotrephes griseus","Pluvialis fulva"
"267","Laccotrephes ruber","Pluvialis fulva"
"268","Ranatra elongata","Pluvialis fulva"
"269","Ranatra filiformis","Pluvialis fulva"
"270","Ranatra varipes","Pluvialis fulva"
"271","Anisops campbelli","Pluvialis fulva"
"272","Hydrovatus confertus","Pluvialis fulva"
"273","Diplonychus annulatus","Charadrius dubius"
"274","Diplonychus rusticus","Charadrius dubius"
"275","Aquarius adelaides","Charadrius dubius"
"276","Limnogonus fossarum","Charadrius dubius"
"277","Laccotrephes griseus","Charadrius dubius"
"278","Laccotrephes ruber","Charadrius dubius"
"279","Ranatra elongata","Charadrius dubius"
"280","Ranatra filiformis","Charadrius dubius"
"281","Ranatra varipes","Charadrius dubius"
"282","Anisops campbelli","Charadrius dubius"
"283","Hydrovatus confertus","Charadrius dubius"
"284","Diplonychus annulatus","Vanellus malabaricus"
"285","Diplonychus rusticus","Vanellus malabaricus"
"286","Aquarius adelaides","Vanellus malabaricus"
"287","Limnogonus fossarum","Vanellus malabaricus"
"288","Laccotrephes griseus","Vanellus malabaricus"
"289","Laccotrephes ruber","Vanellus malabaricus"
"290","Ranatra elongata","Vanellus malabaricus"
"291","Ranatra filiformis","Vanellus malabaricus"
"292","Ranatra varipes","Vanellus malabaricus"
"293","Anisops campbelli","Vanellus malabaricus"
"294","Hydrovatus confertus","Vanellus malabaricus"
"295","Diplonychus annulatus","Vanellus indicus"
"296","Diplonychus rusticus","Vanellus indicus"
"297","Aquarius adelaides","Vanellus indicus"
"298","Limnogonus fossarum","Vanellus indicus"
"299","Laccotrephes griseus","Vanellus indicus"
"300","Laccotrephes ruber","Vanellus indicus"
"301","Ranatra elongata","Vanellus indicus"
"302","Ranatra filiformis","Vanellus indicus"
"303","Ranatra varipes","Vanellus indicus"
"304","Anisops campbelli","Vanellus indicus"
"305","Hydrovatus confertus","Vanellus indicus"
"306","Herbaceous aquatic plants","Metopidius indicus"
"307","Diplonychus annulatus","Metopidius indicus"
"308","Diplonychus rusticus","Metopidius indicus"
"309","Aquarius adelaides","Metopidius indicus"
"310","Limnogonus fossarum","Metopidius indicus"
"311","Laccotrephes griseus","Metopidius indicus"
"312","Laccotrephes ruber","Metopidius indicus"
"313","Ranatra elongata","Metopidius indicus"
"314","Ranatra filiformis","Metopidius indicus"
"315","Ranatra varipes","Metopidius indicus"
"316","Anisops campbelli","Metopidius indicus"
"317","Hydrovatus confertus","Metopidius indicus"
"318","Herbaceous aquatic plants","Hydrophasianus chirurgus"
"319","Diplonychus annulatus","Hydrophasianus chirurgus"
"320","Diplonychus rusticus","Hydrophasianus chirurgus"
"321","Aquarius adelaides","Hydrophasianus chirurgus"
"322","Limnogonus fossarum","Hydrophasianus chirurgus"
"323","Laccotrephes griseus","Hydrophasianus chirurgus"
"324","Laccotrephes ruber","Hydrophasianus chirurgus"
"325","Ranatra elongata","Hydrophasianus chirurgus"
"326","Ranatra filiformis","Hydrophasianus chirurgus"
"327","Ranatra varipes","Hydrophasianus chirurgus"
