,from,to,link_type
346,Limnogonus fossarum,Ardea purpurea,0
347,Laccotrephes griseus,Ardea purpurea,0
348,Laccotrephes ruber,Ardea purpurea,0
349,Ranatra elongata,Ardea purpurea,0
350,Ranatra filiformis,Ardea purpurea,0
351,Ranatra varipes,Ardea purpurea,0
352,Anisops campbelli,Ardea purpurea,0
353,Hydrovatus confertus,Ardea purpurea,0
354,Big fish juveniles,Ardea purpurea,0
355,Parambassis baculis,Ardea alba,0
356,Aplocheilus panchax,Ardea alba,0
357,Badis badis,Ardea alba,0
358,Puntius vittatus,Ardea alba,0
359,Rasbora daniconius,Ardea alba,0
360,Pethia phutunio,Ardea alba,0
361,Trichogaster lalius,Ardea alba,0
362,Trichogaster fasciata,Ardea alba,0
363,Duttaphrynus melanostictus,Ardea alba,0
364,Duttaphrynus scaber,Ardea alba,0
365,Fejervarya orissaensis,Ardea alba,0
366,Minervarya agricola,Ardea alba,0
367,Minervarya pierrei,Ardea alba,0
368,Euphlyctis cyanophlyctis,Ardea alba,0
369,Hoplobatrachus tigerinus,Ardea alba,0
370,Hoplobatrachus crassus,Ardea alba,0
371,Uperodon systoma,Ardea alba,0
372,Polypedates maculatus,Ardea alba,0
373,Diplonychus annulatus,Ardea alba,0
374,Diplonychus rusticus,Ardea alba,0
375,Aquarius adelaides,Ardea alba,0
376,Limnogonus fossarum,Ardea alba,0
377,Laccotrephes griseus,Ardea alba,0
378,Laccotrephes ruber,Ardea alba,0
379,Ranatra elongata,Ardea alba,0
380,Ranatra filiformis,Ardea alba,0
381,Ranatra varipes,Ardea alba,0
382,Anisops campbelli,Ardea alba,0
383,Hydrovatus confertus,Ardea alba,0
384,Big fish juveniles,Ardea alba,0
385,Parambassis baculis,Ardea intermedia,0
386,Aplocheilus panchax,Ardea intermedia,0
387,Badis badis,Ardea intermedia,0
388,Puntius vittatus,Ardea intermedia,0
389,Rasbora daniconius,Ardea intermedia,0
390,Pethia phutunio,Ardea intermedia,0
391,Trichogaster lalius,Ardea intermedia,0
392,Trichogaster fasciata,Ardea intermedia,0
393,Duttaphrynus melanostictus,Ardea intermedia,0
394,Duttaphrynus scaber,Ardea intermedia,0
395,Fejervarya orissaensis,Ardea intermedia,0
396,Minervarya agricola,Ardea intermedia,0
397,Minervarya pierrei,Ardea intermedia,0
398,Euphlyctis cyanophlyctis,Ardea intermedia,0
399,Hoplobatrachus tigerinus,Ardea intermedia,0
400,Hoplobatrachus crassus,Ardea intermedia,0
401,Uperodon systoma,Ardea intermedia,0
402,Polypedates maculatus,Ardea intermedia,0
403,Diplonychus annulatus,Ardea intermedia,0
404,Diplonychus rusticus,Ardea intermedia,0
405,Aquarius adelaides,Ardea intermedia,0
406,Limnogonus fossarum,Ardea intermedia,0
407,Laccotrephes griseus,Ardea intermedia,0
408,Laccotrephes ruber,Ardea intermedia,0
409,Ranatra elongata,Ardea intermedia,0
410,Ranatra filiformis,Ardea intermedia,0
411,Ranatra varipes,Ardea intermedia,0
412,Anisops campbelli,Ardea intermedia,0
413,Hydrovatus confertus,Ardea intermedia,0
414,Big fish juveniles,Ardea intermedia,0
415,Parambassis baculis,Egretta garzetta,0
416,Aplocheilus panchax,Egretta garzetta,0
417,Badis badis,Egretta garzetta,0
418,Puntius vittatus,Egretta garzetta,0
419,Rasbora daniconius,Egretta garzetta,0
420,Pethia phutunio,Egretta garzetta,0
421,Trichogaster lalius,Egretta garzetta,0
422,Trichogaster fasciata,Egretta garzetta,0
423,Duttaphrynus melanostictus,Egretta garzetta,0
424,Duttaphrynus scaber,Egretta garzetta,0
425,Fejervarya orissaensis,Egretta garzetta,0
426,Minervarya agricola,Egretta garzetta,0
427,Minervarya pierrei,Egretta garzetta,0
428,Euphlyctis cyanophlyctis,Egretta garzetta,0
429,Hoplobatrachus tigerinus,Egretta garzetta,0
430,Hoplobatrachus crassus,Egretta garzetta,0
431,Uperodon systoma,Egretta garzetta,0
432,Polypedates maculatus,Egretta garzetta,0
433,Diplonychus annulatus,Egretta garzetta,0
434,Diplonychus rusticus,Egretta garzetta,0
435,Aquarius adelaides,Egretta garzetta,0
436,Limnogonus fossarum,Egretta garzetta,0
437,Laccotrephes griseus,Egretta garzetta,0
438,Laccotrephes ruber,Egretta garzetta,0
439,Ranatra elongata,Egretta garzetta,0
440,Ranatra filiformis,Egretta garzetta,0
441,Ranatra varipes,Egretta garzetta,0
442,Anisops campbelli,Egretta garzetta,0
443,Hydrovatus confertus,Egretta garzetta,0
444,Macrobrachium malcolmsonii,Egretta garzetta,0
445,Macrobrachium rosenbergii,Egretta garzetta,0
446,Macrobrachium rude,Egretta garzetta,0
447,Macrobrachium equidens,Egretta garzetta,0
448,Big fish juveniles,Egretta garzetta,0
449,Parambassis baculis,Bubulcus ibis,0
450,Aplocheilus panchax,Bubulcus ibis,0
451,Badis badis,Bubulcus ibis,0
452,Puntius vittatus,Bubulcus ibis,0
453,Rasbora daniconius,Bubulcus ibis,0
454,Pethia phutunio,Bubulcus ibis,0
455,Trichogaster lalius,Bubulcus ibis,0
456,Trichogaster fasciata,Bubulcus ibis,0
457,Diplonychus annulatus,Bubulcus ibis,0
458,Diplonychus rusticus,Bubulcus ibis,0
459,Aquarius adelaides,Bubulcus ibis,0
460,Limnogonus fossarum,Bubulcus ibis,0
461,Laccotrephes griseus,Bubulcus ibis,0
462,Laccotrephes ruber,Bubulcus ibis,0
463,Ranatra elongata,Bubulcus ibis,0
464,Ranatra filiformis,Bubulcus ibis,0
465,Ranatra varipes,Bubulcus ibis,0
466,Anisops campbelli,Bubulcus ibis,0
467,Hydrovatus confertus,Bubulcus ibis,0
468,Big fish juveniles,Bubulcus ibis,0
469,Parambassis baculis,Ardeola grayii,0
470,Aplocheilus panchax,Ardeola grayii,0
471,Badis badis,Ardeola grayii,0
472,Puntius vittatus,Ardeola grayii,0
473,Rasbora daniconius,Ardeola grayii,0
474,Pethia phutunio,Ardeola grayii,0
475,Trichogaster lalius,Ardeola grayii,0
476,Trichogaster fasciata,Ardeola grayii,0
477,Duttaphrynus melanostictus,Ardeola grayii,0
478,Duttaphrynus scaber,Ardeola grayii,0
479,Fejervarya orissaensis,Ardeola grayii,0
480,Minervarya agricola,Ardeola grayii,0
481,Minervarya pierrei,Ardeola grayii,0
482,Euphlyctis cyanophlyctis,Ardeola grayii,0
483,Hoplobatrachus tigerinus,Ardeola grayii,0
484,Hoplobatrachus crassus,Ardeola grayii,0
485,Uperodon systoma,Ardeola grayii,0
486,Polypedates maculatus,Ardeola grayii,0
487,Diplonychus annulatus,Ardeola grayii,0
488,Diplonychus rusticus,Ardeola grayii,0
489,Aquarius adelaides,Ardeola grayii,0
490,Limnogonus fossarum,Ardeola grayii,0
491,Laccotrephes griseus,Ardeola grayii,0
492,Laccotrephes ruber,Ardeola grayii,0
493,Ranatra elongata,Ardeola grayii,0
494,Ranatra filiformis,Ardeola grayii,0
495,Ranatra varipes,Ardeola grayii,0
496,Anisops campbelli,Ardeola grayii,0
497,Hydrovatus confertus,Ardeola grayii,0
498,Macrobrachium malcolmsonii,Ardeola grayii,0
499,Macrobrachium rosenbergii,Ardeola grayii,0
500,Macrobrachium rude,Ardeola grayii,0
501,Macrobrachium equidens,Ardeola grayii,0
502,Big fish juveniles,Ardeola grayii,0
503,Parambassis baculis,Nycticorax nycticorax,0
504,Aplocheilus panchax,Nycticorax nycticorax,0
505,Badis badis,Nycticorax nycticorax,0
506,Puntius vittatus,Nycticorax nycticorax,0
507,Rasbora daniconius,Nycticorax nycticorax,0
508,Pethia phutunio,Nycticorax nycticorax,0
509,Trichogaster lalius,Nycticorax nycticorax,0
510,Trichogaster fasciata,Nycticorax nycticorax,0
511,Duttaphrynus melanostictus,Nycticorax nycticorax,0
512,Duttaphrynus scaber,Nycticorax nycticorax,0
513,Fejervarya orissaensis,Nycticorax nycticorax,0
514,Minervarya agricola,Nycticorax nycticorax,0
515,Minervarya pierrei,Nycticorax nycticorax,0
516,Euphlyctis cyanophlyctis,Nycticorax nycticorax,0
517,Hoplobatrachus tigerinus,Nycticorax nycticorax,0
518,Hoplobatrachus crassus,Nycticorax nycticorax,0
519,Uperodon systoma,Nycticorax nycticorax,0
520,Polypedates maculatus,Nycticorax nycticorax,0
521,Diplonychus annulatus,Nycticorax nycticorax,0
522,Diplonychus rusticus,Nycticorax nycticorax,0
523,Aquarius adelaides,Nycticorax nycticorax,0
524,Limnogonus fossarum,Nycticorax nycticorax,0
525,Laccotrephes griseus,Nycticorax nycticorax,0
526,Laccotrephes ruber,Nycticorax nycticorax,0
527,Ranatra elongata,Nycticorax nycticorax,0
528,Ranatra filiformis,Nycticorax nycticorax,0
529,Ranatra varipes,Nycticorax nycticorax,0
530,Anisops campbelli,Nycticorax nycticorax,0
531,Hydrovatus confertus,Nycticorax nycticorax,0
532,Big fish juveniles,Nycticorax nycticorax,0
533,Parambassis baculis,Haliaeetus leucogaster,0
534,Aplocheilus panchax,Haliaeetus leucogaster,0
535,Netuma thalassina,Haliaeetus leucogaster,0
536,Badis badis,Haliaeetus leucogaster,0
537,Mystus tengara,Haliaeetus leucogaster,0
538,Mystus vittatus,Haliaeetus leucogaster,0
539,Xenentodon cancila,Haliaeetus leucogaster,0
540,Channa punctata,Haliaeetus leucogaster,0
541,Channa striata,Haliaeetus leucogaster,0
542,Channa gachua,Haliaeetus leucogaster,0
543,Oreochromis niloticus,Haliaeetus leucogaster,0
544,Puntius vittatus,Haliaeetus leucogaster,0
545,Rasbora daniconius,Haliaeetus leucogaster,0
546,Pethia phutunio,Haliaeetus leucogaster,0
547,Glossogobius giuris,Haliaeetus leucogaster,0
548,Heteropneustes fossilis,Haliaeetus leucogaster,0
549,Macrognathus pancalus,Haliaeetus leucogaster,0
550,Mastacembelus armatus,Haliaeetus leucogaster,0
551,Notopterus notopterus,Haliaeetus leucogaster,0
552,Trichogaster lalius,Haliaeetus leucogaster,0
553,Trichogaster fasciata,Haliaeetus leucogaster,0
554,Enhydris enhydris,Haliaeetus leucogaster,0
555,Fowlea piscator,Haliaeetus leucogaster,0
556,Bungarus fasciatus,Haliaeetus leucogaster,0
557,Naja naja,Haliaeetus leucogaster,0
558,Big fish juveniles,Haliaeetus leucogaster,0
559,Enhydris enhydris,Spilornis cheela,0
560,Fowlea piscator,Spilornis cheela,0
561,Bungarus fasciatus,Spilornis cheela,0
562,Naja naja,Spilornis cheela,0
563,Parambassis baculis,Alcedo atthis,0
