"","PREY_sp","PREDATOR_sp"
"126","Ranatra elongata","Porphyrio poliocephalus"
"127","Ranatra filiformis","Porphyrio poliocephalus"
"128","Ranatra varipes","Porphyrio poliocephalus"
"129","Anisops campbelli","Porphyrio poliocephalus"
"130","Hydrovatus confertus","Porphyrio poliocephalus"
"131","Herbaceous aquatic plants","Amaurornis phoenicurus"
"132","Diplonychus annulatus","Amaurornis phoenicurus"
"133","Diplonychus rusticus","Amaurornis phoenicurus"
"134","Aquarius adelaides","Amaurornis phoenicurus"
"135","Limnogonus fossarum","Amaurornis phoenicurus"
"136","Laccotrephes griseus","Amaurornis phoenicurus"
"137","Laccotrephes ruber","Amaurornis phoenicurus"
"138","Ranatra elongata","Amaurornis phoenicurus"
"139","Ranatra filiformis","Amaurornis phoenicurus"
"140","Ranatra varipes","Amaurornis phoenicurus"
"141","Anisops campbelli","Amaurornis phoenicurus"
"142","Hydrovatus confertus","Amaurornis phoenicurus"
"143","Parambassis baculis","Amaurornis phoenicurus"
"144","Aplocheilus panchax","Amaurornis phoenicurus"
"145","Badis badis","Amaurornis phoenicurus"
"146","Puntius vittatus","Amaurornis phoenicurus"
"147","Rasbora daniconius","Amaurornis phoenicurus"
"148","Pethia phutunio","Amaurornis phoenicurus"
"149","Trichogaster lalius","Amaurornis phoenicurus"
"150","Trichogaster fasciata","Amaurornis phoenicurus"
"151","Big fish juveniles","Amaurornis phoenicurus"
"152","Diplonychus annulatus","Himantopus himantopus"
"153","Diplonychus rusticus","Himantopus himantopus"
"154","Aquarius adelaides","Himantopus himantopus"
"155","Limnogonus fossarum","Himantopus himantopus"
"156","Laccotrephes griseus","Himantopus himantopus"
"157","Laccotrephes ruber","Himantopus himantopus"
"158","Ranatra elongata","Himantopus himantopus"
"159","Ranatra filiformis","Himantopus himantopus"
"160","Ranatra varipes","Himantopus himantopus"
"161","Anisops campbelli","Himantopus himantopus"
"162","Hydrovatus confertus","Himantopus himantopus"
"163","Diplonychus annulatus","Vanellus indicus"
"164","Diplonychus rusticus","Vanellus indicus"
"165","Aquarius adelaides","Vanellus indicus"
"166","Limnogonus fossarum","Vanellus indicus"
"167","Laccotrephes griseus","Vanellus indicus"
"168","Laccotrephes ruber","Vanellus indicus"
"169","Ranatra elongata","Vanellus indicus"
"170","Ranatra filiformis","Vanellus indicus"
"171","Ranatra varipes","Vanellus indicus"
"172","Anisops campbelli","Vanellus indicus"
"173","Hydrovatus confertus","Vanellus indicus"
"174","Herbaceous aquatic plants","Metopidius indicus"
"175","Diplonychus annulatus","Metopidius indicus"
"176","Diplonychus rusticus","Metopidius indicus"
"177","Aquarius adelaides","Metopidius indicus"
"178","Limnogonus fossarum","Metopidius indicus"
"179","Laccotrephes griseus","Metopidius indicus"
"180","Laccotrephes ruber","Metopidius indicus"
"181","Ranatra elongata","Metopidius indicus"
"182","Ranatra filiformis","Metopidius indicus"
"183","Ranatra varipes","Metopidius indicus"
"184","Anisops campbelli","Metopidius indicus"
"185","Hydrovatus confertus","Metopidius indicus"
"186","Fejervarya orissaensis","Anastomus oscitans"
"187","Minervarya agricola","Anastomus oscitans"
"188","Minervarya pierrei","Anastomus oscitans"
"189","Microhyla mymensinghensis","Anastomus oscitans"
"190","Uperodon systoma","Anastomus oscitans"
"191","Hylarana tytleri","Anastomus oscitans"
"192","Polypedates maculatus","Anastomus oscitans"
"193","Parambassis baculis","Anastomus oscitans"
"194","Aplocheilus panchax","Anastomus oscitans"
"195","Badis badis","Anastomus oscitans"
"196","Puntius vittatus","Anastomus oscitans"
"197","Rasbora daniconius","Anastomus oscitans"
"198","Pethia phutunio","Anastomus oscitans"
"199","Trichogaster lalius","Anastomus oscitans"
"200","Trichogaster fasciata","Anastomus oscitans"
"201","Big fish juveniles","Anastomus oscitans"
"202","Tadploes","Anastomus oscitans"
"203","Parambassis baculis","Mycteria leucocephala"
"204","Aplocheilus panchax","Mycteria leucocephala"
"205","Netuma thalassina","Mycteria leucocephala"
"206","Badis badis","Mycteria leucocephala"
"207","Mystus tengara","Mycteria leucocephala"
"208","Mystus vittatus","Mycteria leucocephala"
"209","Xenentodon cancila","Mycteria leucocephala"
"210","Channa punctata","Mycteria leucocephala"
"211","Channa striata","Mycteria leucocephala"
"212","Channa gachua","Mycteria leucocephala"
"213","Oreochromis niloticus","Mycteria leucocephala"
"214","Puntius vittatus","Mycteria leucocephala"
"215","Rasbora daniconius","Mycteria leucocephala"
"216","Pethia phutunio","Mycteria leucocephala"
"217","Glossogobius giuris","Mycteria leucocephala"
"218","Heteropneustes fossilis","Mycteria leucocephala"
"219","Macrognathus pancalus","Mycteria leucocephala"
"220","Mastacembelus armatus","Mycteria leucocephala"
"221","Notopterus notopterus","Mycteria leucocephala"
"222","Trichogaster lalius","Mycteria leucocephala"
"223","Trichogaster fasciata","Mycteria leucocephala"
"224","Duttaphrynus melanostictus","Mycteria leucocephala"
"225","Duttaphrynus scaber","Mycteria leucocephala"
"226","Fejervarya orissaensis","Mycteria leucocephala"
"227","Minervarya agricola","Mycteria leucocephala"
"228","Minervarya pierrei","Mycteria leucocephala"
"229","Euphlyctis cyanophlyctis","Mycteria leucocephala"
"230","Hoplobatrachus tigerinus","Mycteria leucocephala"
"231","Hoplobatrachus crassus","Mycteria leucocephala"
"232","Sphaerotheca breviceps","Mycteria leucocephala"
"233","Sphaerotheca rolandae","Mycteria leucocephala"
"234","Microhyla mymensinghensis","Mycteria leucocephala"
"235","Uperodon systoma","Mycteria leucocephala"
"236","Hylarana tytleri","Mycteria leucocephala"
"237","Polypedates maculatus","Mycteria leucocephala"
"238","Diplonychus annulatus","Mycteria leucocephala"
"239","Diplonychus rusticus","Mycteria leucocephala"
"240","Aquarius adelaides","Mycteria leucocephala"
"241","Limnogonus fossarum","Mycteria leucocephala"
"242","Laccotrephes griseus","Mycteria leucocephala"
"243","Laccotrephes ruber","Mycteria leucocephala"
"244","Ranatra elongata","Mycteria leucocephala"
"245","Ranatra filiformis","Mycteria leucocephala"
"246","Ranatra varipes","Mycteria leucocephala"
"247","Anisops campbelli","Mycteria leucocephala"
"248","Hydrovatus confertus","Mycteria leucocephala"
"249","Big fish juveniles","Mycteria leucocephala"
"250","Tadploes","Mycteria leucocephala"
"251","Parambassis baculis","Microcarbo niger"
"252","Aplocheilus panchax","Microcarbo niger"
"253","Badis badis","Microcarbo niger"
"254","Puntius vittatus","Microcarbo niger"
"255","Rasbora daniconius","Microcarbo niger"
"256","Pethia phutunio","Microcarbo niger"
"257","Trichogaster lalius","Microcarbo niger"
"258","Trichogaster fasciata","Microcarbo niger"
"259","Tadploes","Microcarbo niger"
"260","Duttaphrynus melanostictus","Microcarbo niger"
"261","Duttaphrynus scaber","Microcarbo niger"
"262","Fejervarya orissaensis","Microcarbo niger"
"263","Minervarya agricola","Microcarbo niger"
"264","Minervarya pierrei","Microcarbo niger"
"265","Euphlyctis cyanophlyctis","Microcarbo niger"
"266","Hoplobatrachus tigerinus","Microcarbo niger"
"267","Hoplobatrachus crassus","Microcarbo niger"
"268","Sphaerotheca breviceps","Microcarbo niger"
"269","Sphaerotheca rolandae","Microcarbo niger"
"270","Microhyla mymensinghensis","Microcarbo niger"
"271","Uperodon systoma","Microcarbo niger"
"272","Hylarana tytleri","Microcarbo niger"
"273","Polypedates maculatus","Microcarbo niger"
"274","Macrobrachium malcolmsonii","Microcarbo niger"
"275","Macrobrachium rosenbergii","Microcarbo niger"
"276","Macrobrachium rude","Microcarbo niger"
"277","Macrobrachium equidens","Microcarbo niger"
"278","Big fish juveniles","Microcarbo niger"
"279","Parambassis baculis","Ardea purpurea"
"280","Aplocheilus panchax","Ardea purpurea"
"281","Badis badis","Ardea purpurea"
"282","Puntius vittatus","Ardea purpurea"
"283","Rasbora daniconius","Ardea purpurea"
"284","Pethia phutunio","Ardea purpurea"
"285","Trichogaster lalius","Ardea purpurea"
"286","Trichogaster fasciata","Ardea purpurea"
"287","Enhydris enhydris","Ardea purpurea"
