web,size,links,C,nestedness
Premonsoon,130,2005,0.11863905325443787,0.9401591219754417
Postmonsoon,156,2360,0.09697567389875082,0.9207509791288748
Monsoon,132,2088,0.11983471074380166,0.941947780612063
