web,size,links,C,nestedness
Premonsoon,109,1638,0.13786718289706254,0.9676177161061251
Postmonsoon,135,1924,0.10556927297668038,0.9502405689149828
Monsoon,111,1717,0.13935557178800423,0.9671215976142671
