"","PREY_sp","PREDATOR_sp"
"125","Big fish juveniles","Tachybaptus ruficollis"
"126","Macrobrachium malcolmsonii","Tachybaptus ruficollis"
"127","Macrobrachium rosenbergii","Tachybaptus ruficollis"
"128","Macrobrachium rude","Tachybaptus ruficollis"
"129","Macrobrachium equidens","Tachybaptus ruficollis"
"130","Diplonychus annulatus","Tachybaptus ruficollis"
"131","Diplonychus rusticus","Tachybaptus ruficollis"
"132","Aquarius adelaides","Tachybaptus ruficollis"
"133","Limnogonus fossarum","Tachybaptus ruficollis"
"134","Laccotrephes griseus","Tachybaptus ruficollis"
"135","Laccotrephes ruber","Tachybaptus ruficollis"
"136","Ranatra elongata","Tachybaptus ruficollis"
"137","Ranatra filiformis","Tachybaptus ruficollis"
"138","Ranatra varipes","Tachybaptus ruficollis"
"139","Anisops campbelli","Tachybaptus ruficollis"
"140","Hydrovatus confertus","Tachybaptus ruficollis"
"142","Diplonychus annulatus","Centropus bengalensis"
"143","Diplonychus rusticus","Centropus bengalensis"
"144","Aquarius adelaides","Centropus bengalensis"
"145","Limnogonus fossarum","Centropus bengalensis"
"146","Laccotrephes griseus","Centropus bengalensis"
"147","Laccotrephes ruber","Centropus bengalensis"
"148","Ranatra elongata","Centropus bengalensis"
"149","Ranatra filiformis","Centropus bengalensis"
"150","Ranatra varipes","Centropus bengalensis"
"151","Anisops campbelli","Centropus bengalensis"
"152","Hydrovatus confertus","Centropus bengalensis"
"153","Duttaphrynus melanostictus","Centropus bengalensis"
"154","Duttaphrynus scaber","Centropus bengalensis"
"155","Fejervarya orissaensis","Centropus bengalensis"
"156","Minervarya agricola","Centropus bengalensis"
"157","Minervarya pierrei","Centropus bengalensis"
"158","Euphlyctis cyanophlyctis","Centropus bengalensis"
"159","Hoplobatrachus tigerinus","Centropus bengalensis"
"160","Hoplobatrachus crassus","Centropus bengalensis"
"161","Uperodon systoma","Centropus bengalensis"
"162","Polypedates maculatus","Centropus bengalensis"
"163","Pila globosa","Centropus bengalensis"
"164","Filopaludina bengalensis","Centropus bengalensis"
"165","Melanoides tuberculata","Centropus bengalensis"
"166","Tarebia lineata","Centropus bengalensis"
"167","Bithynia pulchella","Centropus bengalensis"
"168","Gabbia orcula","Centropus bengalensis"
"169","Radix rufescens","Centropus bengalensis"
"170","Racesina luteola","Centropus bengalensis"
"171","Gyraulus barrackporensis","Centropus bengalensis"
"172","Gyraulus convexiusculus","Centropus bengalensis"
"173","Gyraulus euphraticus","Centropus bengalensis"
"174","Indoplanorbis exustus","Centropus bengalensis"
"175","Herbaceous aquatic plants","Gallinula chloropus"
"176","Diplonychus annulatus","Gallinula chloropus"
"177","Diplonychus rusticus","Gallinula chloropus"
"178","Aquarius adelaides","Gallinula chloropus"
"179","Limnogonus fossarum","Gallinula chloropus"
"180","Laccotrephes griseus","Gallinula chloropus"
"181","Laccotrephes ruber","Gallinula chloropus"
"182","Ranatra elongata","Gallinula chloropus"
"183","Ranatra filiformis","Gallinula chloropus"
"184","Ranatra varipes","Gallinula chloropus"
"185","Anisops campbelli","Gallinula chloropus"
"186","Hydrovatus confertus","Gallinula chloropus"
"187","Duttaphrynus melanostictus","Gallinula chloropus"
"188","Duttaphrynus scaber","Gallinula chloropus"
"189","Fejervarya orissaensis","Gallinula chloropus"
"190","Minervarya agricola","Gallinula chloropus"
"191","Minervarya pierrei","Gallinula chloropus"
"192","Euphlyctis cyanophlyctis","Gallinula chloropus"
"193","Hoplobatrachus tigerinus","Gallinula chloropus"
"194","Hoplobatrachus crassus","Gallinula chloropus"
"195","Uperodon systoma","Gallinula chloropus"
"196","Polypedates maculatus","Gallinula chloropus"
"197","Herbaceous aquatic plants","Porphyrio poliocephalus"
"198","Diplonychus annulatus","Porphyrio poliocephalus"
"199","Diplonychus rusticus","Porphyrio poliocephalus"
