"","PREY_sp","PREDATOR_sp"
"126","Duttaphrynus melanostictus","Centropus bengalensis"
"127","Duttaphrynus scaber","Centropus bengalensis"
"128","Fejervarya orissaensis","Centropus bengalensis"
"129","Minervarya agricola","Centropus bengalensis"
"130","Minervarya pierrei","Centropus bengalensis"
"131","Euphlyctis cyanophlyctis","Centropus bengalensis"
"132","Hoplobatrachus tigerinus","Centropus bengalensis"
"133","Hoplobatrachus crassus","Centropus bengalensis"
"134","Sphaerotheca breviceps","Centropus bengalensis"
"135","Sphaerotheca rolandae","Centropus bengalensis"
"136","Microhyla mymensinghensis","Centropus bengalensis"
"137","Uperodon systoma","Centropus bengalensis"
"138","Hylarana tytleri","Centropus bengalensis"
"139","Polypedates maculatus","Centropus bengalensis"
"140","Pila globosa","Centropus bengalensis"
"141","Filopaludina bengalensis","Centropus bengalensis"
"142","Melanoides tuberculata","Centropus bengalensis"
"143","Tarebia lineata","Centropus bengalensis"
"144","Bithynia pulchella","Centropus bengalensis"
"145","Gabbia orcula","Centropus bengalensis"
"146","Radix rufescens","Centropus bengalensis"
"147","Racesina luteola","Centropus bengalensis"
"148","Gyraulus barrackporensis","Centropus bengalensis"
"149","Gyraulus convexiusculus","Centropus bengalensis"
"150","Gyraulus euphraticus","Centropus bengalensis"
"151","Indoplanorbis exustus","Centropus bengalensis"
"152","Herbaceous aquatic plants","Porphyrio poliocephalus"
"153","Diplonychus annulatus","Porphyrio poliocephalus"
"154","Diplonychus rusticus","Porphyrio poliocephalus"
"155","Aquarius adelaides","Porphyrio poliocephalus"
"156","Limnogonus fossarum","Porphyrio poliocephalus"
"157","Laccotrephes griseus","Porphyrio poliocephalus"
"158","Laccotrephes ruber","Porphyrio poliocephalus"
"159","Ranatra elongata","Porphyrio poliocephalus"
"160","Ranatra filiformis","Porphyrio poliocephalus"
"161","Ranatra varipes","Porphyrio poliocephalus"
"162","Anisops campbelli","Porphyrio poliocephalus"
"163","Hydrovatus confertus","Porphyrio poliocephalus"
"164","Pila globosa","Porphyrio poliocephalus"
"165","Filopaludina bengalensis","Porphyrio poliocephalus"
"166","Melanoides tuberculata","Porphyrio poliocephalus"
"167","Tarebia lineata","Porphyrio poliocephalus"
"168","Bithynia pulchella","Porphyrio poliocephalus"
"169","Gabbia orcula","Porphyrio poliocephalus"
"170","Radix rufescens","Porphyrio poliocephalus"
"171","Racesina luteola","Porphyrio poliocephalus"
"172","Gyraulus barrackporensis","Porphyrio poliocephalus"
"173","Gyraulus convexiusculus","Porphyrio poliocephalus"
"174","Gyraulus euphraticus","Porphyrio poliocephalus"
"175","Indoplanorbis exustus","Porphyrio poliocephalus"
"176","Herbaceous aquatic plants","Amaurornis phoenicurus"
"177","Diplonychus annulatus","Amaurornis phoenicurus"
"178","Diplonychus rusticus","Amaurornis phoenicurus"
"179","Aquarius adelaides","Amaurornis phoenicurus"
"180","Limnogonus fossarum","Amaurornis phoenicurus"
"181","Laccotrephes griseus","Amaurornis phoenicurus"
"182","Laccotrephes ruber","Amaurornis phoenicurus"
"183","Ranatra elongata","Amaurornis phoenicurus"
"184","Ranatra filiformis","Amaurornis phoenicurus"
"185","Ranatra varipes","Amaurornis phoenicurus"
"186","Anisops campbelli","Amaurornis phoenicurus"
"187","Hydrovatus confertus","Amaurornis phoenicurus"
"188","Parambassis baculis","Amaurornis phoenicurus"
"189","Aplocheilus panchax","Amaurornis phoenicurus"
"190","Badis badis","Amaurornis phoenicurus"
"191","Puntius vittatus","Amaurornis phoenicurus"
"192","Rasbora daniconius","Amaurornis phoenicurus"
"193","Pethia phutunio","Amaurornis phoenicurus"
"194","Trichogaster lalius","Amaurornis phoenicurus"
"195","Trichogaster fasciata","Amaurornis phoenicurus"
"196","Pila globosa","Amaurornis phoenicurus"
"197","Filopaludina bengalensis","Amaurornis phoenicurus"
"198","Melanoides tuberculata","Amaurornis phoenicurus"
"199","Tarebia lineata","Amaurornis phoenicurus"
"200","Bithynia pulchella","Amaurornis phoenicurus"
"201","Gabbia orcula","Amaurornis phoenicurus"
"202","Radix rufescens","Amaurornis phoenicurus"
"203","Racesina luteola","Amaurornis phoenicurus"
"204","Gyraulus barrackporensis","Amaurornis phoenicurus"
"205","Gyraulus convexiusculus","Amaurornis phoenicurus"
"206","Gyraulus euphraticus","Amaurornis phoenicurus"
"207","Indoplanorbis exustus","Amaurornis phoenicurus"
"208","Big fish juveniles","Amaurornis phoenicurus"
"209","Pila globosa","Himantopus himantopus"
"210","Filopaludina bengalensis","Himantopus himantopus"
"211","Melanoides tuberculata","Himantopus himantopus"
"212","Tarebia lineata","Himantopus himantopus"
"213","Bithynia pulchella","Himantopus himantopus"
"214","Gabbia orcula","Himantopus himantopus"
"215","Radix rufescens","Himantopus himantopus"
"216","Racesina luteola","Himantopus himantopus"
"217","Gyraulus barrackporensis","Himantopus himantopus"
"218","Gyraulus convexiusculus","Himantopus himantopus"
"219","Gyraulus euphraticus","Himantopus himantopus"
"220","Indoplanorbis exustus","Himantopus himantopus"
"221","Diplonychus annulatus","Himantopus himantopus"
"222","Diplonychus rusticus","Himantopus himantopus"
"223","Aquarius adelaides","Himantopus himantopus"
"224","Limnogonus fossarum","Himantopus himantopus"
"225","Laccotrephes griseus","Himantopus himantopus"
"226","Laccotrephes ruber","Himantopus himantopus"
"227","Ranatra elongata","Himantopus himantopus"
"228","Ranatra filiformis","Himantopus himantopus"
"229","Ranatra varipes","Himantopus himantopus"
"230","Anisops campbelli","Himantopus himantopus"
"231","Hydrovatus confertus","Himantopus himantopus"
"232","Pila globosa","Vanellus indicus"
"233","Filopaludina bengalensis","Vanellus indicus"
"234","Melanoides tuberculata","Vanellus indicus"
"235","Tarebia lineata","Vanellus indicus"
"236","Bithynia pulchella","Vanellus indicus"
"237","Gabbia orcula","Vanellus indicus"
"238","Radix rufescens","Vanellus indicus"
"239","Racesina luteola","Vanellus indicus"
"240","Gyraulus barrackporensis","Vanellus indicus"
"241","Gyraulus convexiusculus","Vanellus indicus"
"242","Gyraulus euphraticus","Vanellus indicus"
"243","Indoplanorbis exustus","Vanellus indicus"
"244","Diplonychus annulatus","Vanellus indicus"
"245","Diplonychus rusticus","Vanellus indicus"
"246","Aquarius adelaides","Vanellus indicus"
"247","Limnogonus fossarum","Vanellus indicus"
"248","Laccotrephes griseus","Vanellus indicus"
"249","Laccotrephes ruber","Vanellus indicus"
"250","Ranatra elongata","Vanellus indicus"
"251","Ranatra filiformis","Vanellus indicus"
"252","Ranatra varipes","Vanellus indicus"
"253","Anisops campbelli","Vanellus indicus"
"254","Hydrovatus confertus","Vanellus indicus"
"255","Herbaceous aquatic plants","Metopidius indicus"
"256","Diplonychus annulatus","Metopidius indicus"
"257","Diplonychus rusticus","Metopidius indicus"
"258","Aquarius adelaides","Metopidius indicus"
"259","Limnogonus fossarum","Metopidius indicus"
"260","Laccotrephes griseus","Metopidius indicus"
"261","Laccotrephes ruber","Metopidius indicus"
"262","Ranatra elongata","Metopidius indicus"
"263","Ranatra filiformis","Metopidius indicus"
"264","Ranatra varipes","Metopidius indicus"
"265","Anisops campbelli","Metopidius indicus"
"266","Hydrovatus confertus","Metopidius indicus"
"267","Pila globosa","Metopidius indicus"
"268","Filopaludina bengalensis","Metopidius indicus"
"269","Melanoides tuberculata","Metopidius indicus"
"270","Tarebia lineata","Metopidius indicus"
"271","Bithynia pulchella","Metopidius indicus"
"272","Gabbia orcula","Metopidius indicus"
"273","Radix rufescens","Metopidius indicus"
"274","Racesina luteola","Metopidius indicus"
"275","Gyraulus barrackporensis","Metopidius indicus"
"276","Gyraulus convexiusculus","Metopidius indicus"
"277","Gyraulus euphraticus","Metopidius indicus"
"278","Indoplanorbis exustus","Metopidius indicus"
"279","Pila globosa","Anastomus oscitans"
"280","Filopaludina bengalensis","Anastomus oscitans"
"281","Melanoides tuberculata","Anastomus oscitans"
"282","Tarebia lineata","Anastomus oscitans"
"283","Bithynia pulchella","Anastomus oscitans"
"284","Gabbia orcula","Anastomus oscitans"
"285","Radix rufescens","Anastomus oscitans"
"286","Racesina luteola","Anastomus oscitans"
"287","Gyraulus barrackporensis","Anastomus oscitans"
"288","Gyraulus convexiusculus","Anastomus oscitans"
"289","Gyraulus euphraticus","Anastomus oscitans"
"290","Indoplanorbis exustus","Anastomus oscitans"
"291","Fejervarya orissaensis","Anastomus oscitans"
"292","Minervarya agricola","Anastomus oscitans"
"293","Minervarya pierrei","Anastomus oscitans"
"294","Microhyla mymensinghensis","Anastomus oscitans"
"295","Uperodon systoma","Anastomus oscitans"
"296","Hylarana tytleri","Anastomus oscitans"
"297","Polypedates maculatus","Anastomus oscitans"
"298","Parambassis baculis","Anastomus oscitans"
"299","Aplocheilus panchax","Anastomus oscitans"
"300","Badis badis","Anastomus oscitans"
"301","Puntius vittatus","Anastomus oscitans"
"302","Rasbora daniconius","Anastomus oscitans"
"303","Pethia phutunio","Anastomus oscitans"
"304","Trichogaster lalius","Anastomus oscitans"
"305","Trichogaster fasciata","Anastomus oscitans"
"306","Big fish juveniles","Anastomus oscitans"
"307","Tadploes","Anastomus oscitans"
"308","Parambassis baculis","Mycteria leucocephala"
"309","Aplocheilus panchax","Mycteria leucocephala"
"310","Netuma thalassina","Mycteria leucocephala"
"311","Badis badis","Mycteria leucocephala"
"312","Mystus tengara","Mycteria leucocephala"
"313","Mystus vittatus","Mycteria leucocephala"
"314","Xenentodon cancila","Mycteria leucocephala"
"315","Channa punctata","Mycteria leucocephala"
"316","Channa striata","Mycteria leucocephala"
"317","Channa gachua","Mycteria leucocephala"
"318","Oreochromis niloticus","Mycteria leucocephala"
"319","Puntius vittatus","Mycteria leucocephala"
"320","Rasbora daniconius","Mycteria leucocephala"
"321","Pethia phutunio","Mycteria leucocephala"
"322","Glossogobius giuris","Mycteria leucocephala"
"323","Heteropneustes fossilis","Mycteria leucocephala"
"324","Macrognathus pancalus","Mycteria leucocephala"
"325","Mastacembelus armatus","Mycteria leucocephala"
"326","Notopterus notopterus","Mycteria leucocephala"
"327","Trichogaster lalius","Mycteria leucocephala"
"328","Trichogaster fasciata","Mycteria leucocephala"
"329","Duttaphrynus melanostictus","Mycteria leucocephala"
"330","Duttaphrynus scaber","Mycteria leucocephala"
"331","Fejervarya orissaensis","Mycteria leucocephala"
"332","Minervarya agricola","Mycteria leucocephala"
"333","Minervarya pierrei","Mycteria leucocephala"
"334","Euphlyctis cyanophlyctis","Mycteria leucocephala"
