"([1, 7, 35],)"
"([1, 7, 36],)"
"([1, 7, 39],)"
"([1, 7, 40],)"
"([1, 7, 52],)"
"([1, 7, 53],)"
"([1, 7, 75],)"
"([1, 7, 76],)"
"([1, 7, 93],)"
"([1, 7, 106],)"
"([1, 9, 35],)"
"([1, 9, 36],)"
"([1, 9, 39],)"
"([1, 9, 40],)"
"([1, 9, 52],)"
"([1, 9, 53],)"
"([1, 9, 75],)"
"([1, 9, 76],)"
"([1, 9, 93],)"
"([1, 9, 106],)"
"([1, 33, 35],)"
"([1, 33, 36],)"
"([1, 33, 39],)"
"([1, 33, 40],)"
"([1, 33, 52],)"
"([1, 33, 53],)"
"([1, 33, 75],)"
"([1, 33, 76],)"
"([1, 33, 93],)"
"([1, 33, 106],)"
"([1, 34, 35],)"
"([1, 34, 36],)"
"([1, 34, 39],)"
"([1, 34, 40],)"
"([1, 34, 52],)"
"([1, 34, 53],)"
"([1, 34, 75],)"
"([1, 34, 76],)"
"([1, 34, 93],)"
"([1, 34, 106],)"
"([1, 35, 55],)"
"([1, 35, 57],)"
"([1, 35, 58],)"
"([1, 35, 61],)"
"([1, 35, 97],)"
"([1, 35, 98],)"
"([1, 35, 99],)"
"([1, 36, 55],)"
"([1, 36, 57],)"
"([1, 36, 58],)"
"([1, 36, 61],)"
"([1, 36, 97],)"
"([1, 36, 98],)"
"([1, 36, 99],)"
"([1, 38, 52],)"
"([1, 38, 53],)"
"([1, 39, 55],)"
"([1, 39, 57],)"
"([1, 39, 58],)"
"([1, 39, 61],)"
"([1, 39, 97],)"
"([1, 39, 98],)"
"([1, 39, 99],)"
"([1, 40, 55],)"
"([1, 40, 57],)"
"([1, 40, 58],)"
"([1, 40, 61],)"
"([1, 40, 97],)"
"([1, 40, 98],)"
"([1, 40, 99],)"
"([1, 52, 55],)"
"([1, 52, 57],)"
"([1, 52, 58],)"
"([1, 52, 61],)"
"([1, 52, 97],)"
"([1, 52, 98],)"
"([1, 52, 99],)"
"([1, 53, 55],)"
"([1, 53, 57],)"
"([1, 53, 58],)"
"([1, 53, 61],)"
"([1, 53, 97],)"
"([1, 53, 98],)"
"([1, 53, 99],)"
"([1, 55, 75],)"
"([1, 55, 76],)"
"([1, 55, 93],)"
"([1, 55, 106],)"
"([1, 57, 75],)"
"([1, 57, 76],)"
"([1, 57, 93],)"
"([1, 57, 106],)"
"([1, 58, 75],)"
"([1, 58, 76],)"
"([1, 58, 93],)"
"([1, 58, 106],)"
"([1, 61, 75],)"
"([1, 61, 76],)"
"([1, 61, 93],)"
"([1, 61, 106],)"
"([1, 75, 97],)"
"([1, 75, 98],)"
