web,size,links,C,nestedness
Premonsoon,122,1914,0.12859446385380274,0.9182517335634501
Postmonsoon,148,2380,0.10865595325054785,0.8957673592957043
Monsoon,124,1981,0.12883714880332986,0.9194976199119017
