Premonsoon,S2,Glossogobius giuris,323
Premonsoon,S2,Oreochromis niloticus,116
Premonsoon,S2,Duttaphrynus melanostictus,230
Premonsoon,S2,Duttaphrynus scaber,217
Premonsoon,S2,Fejervarya orissaensis,266
Premonsoon,S2,Minervarya agricola,270
Premonsoon,S2,Hoplobatrachus tigerinus,428
Premonsoon,S2,Hoplobatrachus crassus,315
Premonsoon,S2,Netuma thalassina,205
Premonsoon,S2,Prionailurus viverrinus,264
Premonsoon,S2,Macrognathus pancalus,345
Premonsoon,S2,Xenentodon cancila,121
Premonsoon,S2,Channa gachua,527
Premonsoon,S2,Heteropneustes fossilis,51
Premonsoon,S2,Mastacembelus armatus,253
Premonsoon,S2,Notopterus notopterus,395
Premonsoon,S2,Trichogaster lalius,168
Premonsoon,S2,Trichogaster fasciata,338
Premonsoon,S2,Diplonychus annulatus,739
Premonsoon,S2,Diplonychus rusticus,684
Premonsoon,S2,Aquarius adelaides,612
Premonsoon,S2,Limnogonus fossarum,612
Premonsoon,S2,Laccotrephes griseus,612
Premonsoon,S2,Laccotrephes ruber,612
Premonsoon,S2,Ranatra elongata,526
Premonsoon,S2,Ranatra filiformis,530
Premonsoon,S2,Ranatra varipes,614
Premonsoon,S2,Anisops campbelli,635
Premonsoon,S2,Euphlyctis cyanophlyctis,226
Premonsoon,S2,Lissemys punctata,349
Premonsoon,S2,Big fish juveniles,181
Premonsoon,S2,Parambassis baculis,219
Premonsoon,S2,Dendrocygna javanica,176
Premonsoon,S2,Aplocheilus panchax,227
Premonsoon,S2,Badis badis,343
Premonsoon,S2,Puntius vittatus,291
Premonsoon,S2,Rasbora daniconius,261
Premonsoon,S2,Pethia phutunio,343
Premonsoon,S2,Pila globosa,50
Premonsoon,S2,Filopaludina bengalensis,50
Premonsoon,S2,Idiopoma dissimilis,1
Premonsoon,S2,Melanoides tuberculata,50
Premonsoon,S2,Tarebia lineata,50
Premonsoon,S2,Bithynia pulchella,50
Premonsoon,S2,Gabbia orcula,50
Premonsoon,S2,Radix rufescens,50
Premonsoon,S2,Racesina luteola,50
Premonsoon,S2,Herbaceous aquatic plants,163
Premonsoon,S2,Nettapus coromandelianus,53
Premonsoon,S2,Macrobrachium malcolmsonii,249
Premonsoon,S2,Macrobrachium rosenbergii,249
Premonsoon,S2,Macrobrachium rude,111
Premonsoon,S2,Macrobrachium equidens,84
Premonsoon,S2,Hydrovatus confertus,594
Premonsoon,S2,Anas poecilorhyncha,31
Premonsoon,S2,Tachybaptus ruficollis,128
Premonsoon,S2,Gyraulus barrackporensis,42
Premonsoon,S2,Gyraulus convexiusculus,42
Premonsoon,S2,Gyraulus euphraticus,42
Premonsoon,S2,Indoplanorbis exustus,38
Premonsoon,S2,Centropus bengalensis,202
Premonsoon,S2,Minervarya pierrei,298
